INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
4983	teloV	Telos	tel'-os	Noun Neuter	5056	1. End.\    A. Termination, the limit at which a thing ceases to be (always of the end of some act or state, but not of the end of a period of time).\    B. The end.\        1. The last in any succession or series.\        2. Eternal.\    C. That by which a thing is finished, its close, issue.\    D. The end to which all things relate, the aim, purpose.\2. Toll, custom (i.e. indirect tax on goods).
4984	telwnhV	Telones	tel-o'-nace	Noun Masculine	5057	1. A renter or farmer of taxes.\    A. Among the Romans, usually a man of equestrian rank.\2. A tax gatherer, collector of taxes or tolls, one employed by a publican or farmer general in the collection of taxes. The tax collectors were as a class, detested not only by the Jews, but by other nations also, both on account of their employment and of the harshness, greed, and deception, with which they did their job.
4985	telwnion	Telonion	tel-o'-nee-on	Noun Neuter	5058	1. Customs, toll, tithe.\2. Toll house, place of toll, tax office.\3. The place in which the tax collector sat to collect the taxes.
4986	teraV	Teras	ter'-as	Noun Neuter	5059	1. A prodigy, portent.\2. Miracle: performed by any one.
4987	TertioV	Tertios	ter'-tee-os	Noun Masculine	5060	Tertius = "third".\Amanuensis of Paul in writing the epistle to the Romans.
4988	TertulloV	Tertullos	ter'-tool-los	Noun Masculine	5061	Tertullus = "triple-hardened".\A Roman orator.
4989	tessarakonta	Tessarakonta	tes-sar-ak'-on-tah	Adjective	5062	Forty.
4990	tessarakontaethV	Tessarakontaetes	tes-sar-ak-on-tah-et-ace'	Adjective	5063	Of forty years, forty years old.
4991	tessareV	Tessares	tes'-sar-es	Adjective	5064	Four.
4992	tessareskaidekatoV	Tessareskaidekatos	tes-sar-es-kahee-dek'-at-os	Adjective	5065	The fourteenth.
4993	tesserakontaethV	Tetartaios	tet-ar-tah'-yos	Adjective	5066	On the fourth day.
4994	tetartoV	Tetartos	tet'-ar-tos	Adjective	5067	The fourth.
4995	tetraarchV	Tetragonos	tet-rag'-o-nos	Adjective	5068	Quadrangular, square.
4996	tetradion	Tetradion	tet-rad'-ee-on	Noun Neuter	5069	A quaternion.
4997	tetrakiscilioi	Tetrakischilioi	tet-rak-is-khil'-ee-oy	Adjective	5070	Four thousand.
4998	tetrakosioi	Tetrakosioi	tet-rak-os'-ee-oy	Adjective	5071	Four hundred.
4999	tetramhnoV	Tetramenon	tet-ram'-ay-non	Adjective	5072	Of four months, lasting four months.
5000	tetraplouV	Tetraploos	tet-rap-lo'-os	Adjective	5073	Quadruple, fourfold.
5001	tetrapouV	Tetrapous	tet-rap'-ooce	Adjective	5074	A fourfooted animal.
5002	tetrarcew	Tetrarcheo	tet-rar-kheh'-o	Verb	5075	To be a governor of a tetrarchy, be tetrarch of a region.
5003	tetrarchV	Tetrarches	tet-rar'-khace	Noun Masculine	5076	1. A tetrarch.\    A. A governor of the fourth part of a region. Thus Strabo states that Galactia was formerly divided into three parts, each one of which was distributed into four smaller subdivisions each of which was governed by a tetrarch. Strabo relates that Thessaly, before the time of Philip of Macedon, had been divided into four tetrarchies, each having its own tetrarch.\    B. The governor of a third part or half a country, or even a ruler of an entire country or district provided it were of comparatively narrow limits; a petty prince. Thus Antony made Herod (afterwards king) and Phasael, sons of Antipater, tetrarchs of Palestine. After the death of Herod the Great, his sons, Achelaus styled an ethnarch but Antipas and Philip with the title of tetrarchs, divided and governed the kingdom left by their father.
5004	tefrow	Tephroo	tef-ro'-o	Verb	5077	Reduce to ashes.
5005	tecnh	Techne	tekh'-nay	Noun Feminine	5078	1. Of the plastic art.\2. Of a trade.
5006	tecnithV	Technites	tekh-nee'-tace	Noun Masculine	5079	An artificer, craftsman.
5007	thkw	Teko	tay'-ko	Verb	5080	1. To make liquid.\2. To become liquid, to melt.\3. To perish or become destroyed by melting.
5008	thlaugwV	Telaugos	tay-low-goce'	Adverb	5081	At a distance and clearly.
5009	thlikoutoV	Telikoutos	tay-lik-oo'-tos		5082	1. Of age.\    A. Of such an age.\    B. Of so great an age, so old.\    C. So young.\2. Of so great a size, in bulk.\3. Such and so great.
5010	threw	Tereo	tay-reh'-o	Verb	5083	1. To attend to carefully, take care of.\    A. To guard.\    B. Metaph. to keep, one in the state in which he is.\    C. To observe.\    D. To reserve: to undergo something.
5011	thrhsiV	Teresis	tay'-ray-sis	Noun Feminine	5084	1. A watching.\    A. Of prisoners.\    B. A place where prisoners are kept, a prison.\2. A keeping.\    A. Complying with, obeying.
5012	TiberiaV	Tiberias	tib-er-ee-as'	Noun Feminine	5085	Tiberias = "from the Tiber (as river-god)".\A city of Galilee near the Lake of Gennesaret, which Herod Antipas, tetrarch of Galilee, greatly enlarged and beautified, and named Tiberias in honour of Tiberias Caesar.
5013	TiberioV	Tiberios	tib-er'-ee-os	Noun Masculine	5086	Tiberius = "from the Tiber (as god-river)".\The second Roman emperor.
5014	tiqhmi	Tithemi	tith'-ay-mee	Verb	5087	1. To set, put, place.\    A. To place or lay.\    B. To put down, lay down.\        1. To bend down.\        2. To lay off or aside, to wear or carry no longer.\        3. To lay by, lay aside money.\    C. To set on (serve) something to eat or drink.\    D. To set forth, something to be explained by discourse.\2. To make.\    A. To make (or set) for one's self or for one's use.\3. To set, fix establish.\    A. To set forth.\    B. To establish, ordain.
5015	tiktw	Tikto	tik'-to	Verb	5088	1. To bring forth, bear, produce (fruit from the seed).\    A. Of a woman giving birth.\    B. Of the earth bringing forth its fruits.\    C. Metaph. to bear, bring forth.
5016	tillw	Tillo	til'-lo	Verb	5089	To pluck, pluck off.
5017	TimaioV	Timaios	tim'-ah-yos	Noun Masculine	5090	Timaeus = "highly prized".\The father of the blind man, Bartimaeus.
5018	timaw	Timao	tim-ah'-o	Verb	5091	1. To estimate, fix the value.\    A. For the value of something belonging to one's self.\2. To honour, to have in honour, to revere, venerate.
5019	timh	Time	tee-may'	Noun Feminine	5092	1. A valuing by which the price is fixed.\    A. Of the price itself.\    B. Of the price paid or received for a person or thing bought or sold.\2. Honour which belongs or is shown to one.\    A. Of the honour which one has by reason of rank and state of office which he holds.\    B. Deference, reverence.
5020	timioV	Timios	tim'-ee-os	Adjective	5093	1. As of great price, precious.\2. Held in honour, esteemed, especially dear.
5021	timiothV	Timiotes	tim-ee-ot'-ace	Noun Feminine	5094	1. Preciousness, costliness.\    A. An abundance of costly things.\2. Metaph. worth, excellence.
5022	TimoqeoV	Timotheos	tee-moth'-eh-os	Noun Masculine	5095	Timothy = "honouring God".\A resident of Lystra, apparently, whose father was a Greek and mother a Jewess; he was Paul's travelling companion and fellow labourer.
5023	Timwn	Timon	tee'-mone	Noun Masculine	5096	Timon = "honourable".\One of the seven deacons of the church at Jerusalem.
5024	timwrew	Timoreo	tim-o-reh'-o	Verb	5097	1. To be a guardian or avenger of honour.\    A. To succour, come to the help of.\2. To avenge.
5025	timwria	Timoria	tee-mo-ree'-ah	Noun Feminine	5098	1. A rendering help.\2. Assistance.\3. Vengeance, punishment, penalty.
5026	tinw	Tino	tee'-no	Verb	5099	1. To pay, to recompense.\2. To pay penalty, suffer punishment.
5027	tiV	Tis	tis		5100	1. A certain, a certain one.\2. Some, some time, a while.
5028	tiV	Tis	tis		5101	Who, which, what.
5029	TitioV	Titlos	tit'-los	Noun Masculine	5102	1. A title.\2. An inscription, giving the accusation or crime for which a criminal suffered.
5030	TitoV	Titos	tee'-tos	Noun Masculine	5103	Titus = "nurse".\A Gentile Christian an Paul's companion in some of his journeys.
5031	toi	Toi	toy		5104	Certainly, truly.
5032	toigaroun	Toigaroun	toy-gar-oon'		5105	Wherefore then, for which reason, therefore, consequently.
5033	toinun	Toinun	toy'-noon		5106	Therefore, then, accordingly.
5034	toiosde	Toiosde	toy-os'-deh	Adjective	5107	Such.
5035	toioutoV	Toioutos	toy-oo'-tos	Adjective	5108	Such as this, of this kind or sort.
5036	toicoV	Toichos	toy'-khos	Noun Masculine	5109	A wall (of a house).
5037	tokoV	Tokos	tok'-os	Noun Masculine	5110	1. Birth.\    A. The act of bringing forth.\    B. That which has been brought forth, offspring.\2. Interest of money, usury (because it multiplies money, and as it were "breeds").
5038	tolmaw	Tolmao	tol-mah'-o	Verb	5111	1. Not to dread or shun through fear.\2. To bear, endure.\3. To bring one's self to.\4. To be bold.\5. Bear one's self boldly, deal boldly.
5039	tolmhroteron	Tolmeroteron	tol-may-rot'-er-on	Adjective	5112	More boldly.
5040	tolmhthV	Tolmetes	tol-may-tace'	Noun Masculine	5113	A daring man.
5041	tomoV	Tomoteros	tom-o'-ter-os	Adjective	5114	Sharper.
5042	toxon	Toxon	tox'-on	Noun Neuter	5115	A bow.
5043	topazion	Topazion	top-ad'-zee-on	Noun Neuter	5116	Topaz, a greenish yellow precious stone (our chrysolite).
5044	topoV	Topos	top'-os	Noun Masculine	5117	1. Place, any portion or space marked off, as it were from surrounding space.\    A. An inhabited place, as a city, village, district.\    B. A place (passage) in a book.\2. Metaph.\    A. The condition or station held by one in any company or assembly.\    B. Opportunity, power, occasion for acting.
5045	tosoutoV	Tosoutos	tos-oo'-tos	Adjective	5118	1. Of quantity: so great, so many.\2. Of time: so long.
5046	tote	Tote	tot'-eh	Adverb	5119	1. Then.\2. At that time.
5047	tou	Tou	too		5120	His.
5048	tounantion	Tounantion	too-nan-tee'-on	Adverb	5121	On the contrary, contrariwise.
5049	tounoma	Tounoma	too'-no-mah	Adverb	5122	By name.
5050	toutesti	Toutesti	toot-es'-tee	Conjunction	5123	That is.
5051	touto	Touto	too'-to		5124	That (thing), this (thing).
5052	toutoiV	Toutois	too'-toice		5125	These.
5053	touton	Touton	too'-ton		5126	This.
5054	toutou	Toutou	too'-too		5127	Of this one.
5055	toutouV	Toutous	too'-tooce		5128	These.
5056	toutw	Touto	too'-to		5129	To this one.
5057	toutwn	Touton	too'-tone		5130	Of these, This.
5058	tragoV	Tragos	trag'-os	Noun Masculine	5131	Male goat.
5059	trapeza	Trapeza	trap'-ed-zah	Noun Feminine	5132	1. A table.\    A. A table on which food is placed, an eating place.\        1. The table in the temple at Jerusalem on which the consecrated loaves were placed.\    B. Equiv. to the food placed upon the table.\        1. To set a table.\        2. Put food before one.\    C. A banquet, feast.\2. The table or stand of a money changer, where he sits, exchanging different kinds of money for a fee (agio), and paying back with interest loans or deposits.
5060	trapezithV	Trapezites	trap-ed-zee'-tace	Noun Masculine	5133	1. A money changer, broker, banker.\2. One who exchanges money for a fee, and pays interest on deposits.
5061	trauma	Trauma	trow'-mah	Neuter	5134	A wound.
5062	traumatizw	Traumatizo	trow-mat-id'-zo	Verb	5135	To wound.
5063	trachlizw	Trachelizo	trakh-ay-lid'-zo	Verb	5136	1. To seize and twist the neck or throat.\    A. Of combatants who handle thus their antagonist.\2. To bend back the neck of a victim to be slain, to lay bare or expose by bending back.\3. To lay bare, uncover, expose.\4. Laid bare, laid open, made manifest to one.
5064	trachloV	Trachelos	trakh'-ay-los	Noun Masculine	5137	To be ready to incur the most imminent peril to life.
5065	tracuV	Trachus	trakh-oos'	Adjective	5138	1. Rough, rocky.\    A. Of places of the sea.
5066	TracwnitiV	Trachonitis	trakh-o-nee'-tis	Noun Location	5139	Trachonitis = "a rugged region".\A rough region, inhabited by robbers, situated between Antilibanus on the west and on the east by the mountains of Batanaea and on the north by the territory of Damascus.
5067	treiV	Treis	trice	Noun Feminine	5140	Three.
5068	tremw	Tremo	trem'-o	Verb	5141	1. Tremble.\2. To fear, be afraid.
5069	trefw	Trepho	tref'-o		5142	1. To nourish, support.\2. Feed.\3. To give suck, to fatten.\4. To bring up, nurture.
5070	trecw	Trecho	trekh'-o	Verb	5143	1. To run.\    A. Of persons in haste.\    B. Of those who run in a race course.\2. Metaph.\    A. Of doctrine rapidly propagated.\    B. By a metaphor taken from runners in a race, to exert one's self, strive hard.\    C. To spend one's strength in performing or attaining something.\    D. Word occurs in Greek writings denoting to incur extreme peril, which it requires the exertion of all one's effort to overcome.
5071	trhma	Triakonta	tree-ak'-on-tah	Adjective	5144	Thirty.
5072	triakosioi	Triakosioi	tree-ak-os'-ee-oy	Adjective	5145	Three hundred.
5073	triboloV	Tribolos	trib'-ol-os	Noun Masculine	5146	A thistle, a prickly wild plant, hurtful to other plants.
5074	triboV	Tribos	tree'-bos	Noun Feminine	5147	A worn way, a path.
5075	trietia	Trietia	tree-et-ee'-ah	Noun Feminine	5148	A space of three years.
5076	trizw	Trizo	trid'-zo	Verb	5149	1. To squeak, make a shrill cry.\2. To gnash or grind one's teeth.
5077	trimhnon	Trimenon	trim'-ay-non	Adjective	5150	1. Of three months.\2. A space of three months.
5078	triV	Tris	trece	Adverb	5151	Thrice.
5079	tristegon	Tristegon	tris'-teg-on	Adjective	5152	Having three roofs or stories, the third story.
5080	triscilioi	Trischilioi	tris-khil'-ee-oy	Adjective	5153	Three thousand.
5081	tritoV	Tritos	tree'-tos	Adjective	5154	The third.
5082	tricinoV	Trichinos	trikh'-ee-nos	Adjective	5155	Made of hair.
5083	tromoV	Tromos	trom'-os	Noun Masculine	5156	1. A trembling or quaking with fear.\2. With fear and trembling, used to describe the anxiety of one who distrusts his ability completely to meet all requirements, but religiously does his utmost to fulfil his duty.
5084	troph	Trope	trop-ay'	Noun Feminine	5157	1. A turning.\    A. Of the heavenly bodies.
5085	tropoV	Tropos	trop'-os	Noun Masculine	5158	1. A manner, way, fashion.\    A. As, even as, like as.\2. Manner of life, character, deportment.
5086	tropoforew	Tropophoreo	trop-of-or-eh'-o	Verb	5159	To bear one's manner, endure one's character.
5087	trofh	Trophe	trof-ay'	Noun Feminine	5160	Food, nourishment.
5088	TrofimoV	Trophimos	trof'-ee-mos	Noun Masculine	5161	Trophimus = "nutritious".\An Ephesian Christian, and friend of Paul.
5089	trofoV	Trophos	trof-os'	Noun Feminine	5162	A nurse.
5090	trocia	Trochia	trokh-ee-ah'	Noun Feminine	5163	1. A track of a wheel, a rut.\2. A track, a path.
5091	trocoV	Trochos	trokh-os'	Noun Neuter	5164	A wheel.
5092	trublion	Trublion	troob'-lee-on	Noun Neuter	5165	A dish, a deep dish.
5093	trugaw	Trugao	troo-gah'-o	Verb	5166	1. To gather in ripe fruits.\2. To gather the harvest or vintage.\    A. Of fruit gathered.
5094	trugwn	Trugon	troo-gone'	Noun Feminine	5167	Turtledove.
5095	trumalia	Trumalia	troo-mal-ee-ah'	Noun Feminine	5168	1. A hole, (eye of the needle).\2. An animal gate, which was a smaller city gate near the main gate, for passage of livestock, horses, mules, cattle, and donkeys.  Tall beasts, such as the rare camels, had to actually kneel down to pass through this gate.  The parable of the eye of the need comes from this, indicating someone must be humbled to enter the gates of heaven.
5096	truphma	Trupema	troo'-pay-mah	Noun Neuter	5169	1. A hole, (eye of the needle).\2. An animal gate, which was a smaller city gate near the main gate, for passage of livestock, horses, mules, cattle, and donkeys.  Tall beasts, such as the rare camels, had to actually kneel down to pass through this gate.  The parable of the eye of the need comes from this, indicating someone must be humbled to enter the gates of heaven.
5097	Trufaina	Truphaina	troo'-fahee-nah	Noun Feminine	5170	Tryphena = "luxurious".\A Christian woman.
5098	trufaw	Truphao	troo-fah'-o	Verb	5171	To live delicately, live luxuriously, be given to soft and luxurious life.
5099	trufh	Truphe	troo-fay'	Noun Feminine	5172	Softness, effeminate, luxurious living.
5100	Trufwsa	Truphosa	troo-fo'-sah	Noun Feminine	5173	Tryphosa = "luxuriating".\A Christian woman.
5101	TrwaV	Troas	tro-as'	Noun Location	5174	Troas = "a Trojan".\A city near Hellespont.
5102	Trwgullion	Trogullion	tro-gool'-lee-on	Noun Location	5175	Trogyllium = "a cache".\The name of a town and a promontory of Ionia, not far from the island of Samos, at the foot of Mt. Mycale between Ephesus and the mouth of the river Maeander.
5103	trwgw	Trogo	tro'-go	Verb	5176	1. To gnaw, crunch, chew raw vegetables or fruits (as nuts, almonds).\    A. Of animals feeding.\    B. Of men.\2. To eat.
5104	tugcanw	Tugchano	toong-khan'-o	Verb	5177	1. To hit the mark.\    A. Of one discharging a javelin or arrow.\2. To reach, attain, obtain, get, become master of.\3. To happen, chance, fall out.\    A. To specify, to take a case, as for example.\4. To meet one.\5. Of he who meets one or presents himself unsought, any chance, ordinary, common person.\6. To chance to be.
5105	tumpanizw	Tumpanizo	toom-pan-id'-zo	Verb	5178	1. To beat the drum or timbrel.\2. To torture with the tympanum, an instrument of punishment.
5106	tupikwV	Tupos	too'-pos	Noun Masculine	5179	1. The mark of a stroke or blow, print.\2. A figure formed by a blow or impression.\    A. Of a figure or image.\    B. Of the image of the gods.\3. Form.\    A. The teaching which embodies the sum and substance of religion and represents it to the mind, manner of writing, the contents and form of a letter.\4. An example.\    A. In the technical sense, the pattern in conformity to which a thing must be made.\    B. In an ethical sense, a dissuasive example, a pattern of warning.\        1. Of ruinous events which serve as admonitions or warnings to others.\    C. An example to be imitated.\        1. Of men worthy of imitation.\    D. In a doctrinal sense.\        1. Of a type i.e. a person or thing prefiguring a future person or thing.
5107	tuptw	Tupto	toop'-to	Verb	5180	1. To strike, beat, smite.\    A. With a staff, a whip, the fist, the hand.\    B. Of mourners, to smite their breast (to wound their breast as a show of mourning).\2. To smite one (cut with a whip) on whom he inflicts punitive evil.\3. To smite.\    A. Metaph. i.e. to wound, disquiet one's conscience.
5108	TurannoV	Turannos	too'-ran-nos	Noun Masculine	5181	Tyrannus = "sovereign".\An Ephesian in whose school Paul taught the gospel.
5109	turbazw	Turbazo	toor-bad'-zo	Verb	5182	1. Disturb, trouble.\2. To be troubled in mind, disquieted.
5110	TurioV	Turios	too'-ree-os	Noun Masculine	5183	A resident of Tyre.
5111	TuroV	Turos	too'-ros	Noun Feminine	5184	Tyre = "a rock".\A Phoenician city on the Mediterranean, very ancient, large, splendid, flourishing in commerce, and powerful by land and sea.
5112	tufloV	Tuphlos	toof-los'	Adjective	5185	1. Blind.\2. Mentally blind.
5113	tuflow	Tuphloo	toof-lo'-o	Verb	5186	1. To blind, make blind.\2. In the NT metaph. to blunt the mental discernment, darken the mind.
5114	tufow	Tuphoo	toof-o'-o	Verb	5187	1. To raise a smoke, to wrap in a mist.\    A. Metaph.\        1. To make proud, puff up with pride, render insolent.\        2. To be puffed up with haughtiness or pride.\2. To blind with pride or conceit, to render foolish or stupid.\    A. Beclouded, besotted.
5115	tufw	Tupho	too'-fo	Verb	5188	1. To cause or emit smoke, raise a smoke.\2. To smoke.
5116	tufwnikoV	Tuphonikos	too-fo-nee-kos'	Adjective	5189	Like a whirlwind, tempestuous.
5117	TucikoV	Tuchikos	too-khee-kos'	Noun Masculine	5190	Tychicus = "fateful".\An Asiatic Christian, friend and companion of Paul.
5118	uakinqinoV	Huakinthinos	hoo-ak-in'-thee-nos	Adjective	5191	1. Hyacinth, of the colour of hyacinth.\    A. Of a red colour bordering on black.
5119	uakinqoV	Huakinthos	hoo-ak'-in-thos	Noun Masculine	5192	Hyacinth, the name of a flower, also of a precious stone of the same colour, a dark blue verging on black.
5120	ualinoV	Hualinos	hoo-al'-ee-nos	Adjective	5193	Of glass or transparent like glass, glassy.
5121	ualoV	Hualos	hoo'-al-os	Noun Masculine	5194	1. Any stone transparent like glass.\2. Glass.
5122	ubrizw	Hubrizo	hoo-brid'-zo	Verb	5195	1. To be insolent, to behave insolently, wantonly, outrageously.\2. To act insolently and shamefully towards one, to treat shamefully.\3. Of one who injures another by speaking evil of him.
5123	ubriV	Hubris	hoo'-bris	Noun Feminine	5196	1. Insolence.\    A. Impudence, pride, haughtiness.\2. A wrong springing from insolence, an injury, affront, insult.\3. Mental injury and wantonness of its infliction being prominent.\4. Injury inflicted by the violence of a tempest.
5124	ubristhV	Hubristes	hoo-bris-tace'	Noun Masculine	5197	1. An insolent man.\2. One who, uplifted with pride, either heaps insulting language upon others or does them some shameful act of wrong.
5125	ugiainw	Hugiaino	hoog-ee-ah'-ee-no	Verb	5198	1. To be sound, to be well, to be in good health.\2. Metaph.: Of one who keeps the graces and is strong.
5126	ugihV	Hugies	hoog-ee-ace'	Adjective	5199	1. Sound.\    A. Of a man who is sound in body.\2. To make one whole i.e. restore him to health.\3. Metaph. teaching which does not deviate from the truth.
5127	ugroV	Hugros	hoo-gros'	Adjective	5200	1. Damp, moist, wet.\2. Full of sap, green.
5128	udria	Hudria	hoo-dree-ah'	Noun Feminine	5201	1. A vessel for holding water.\2. A water jar, a water pot.
5129	udropotew	Hudropoteo	hoo-drop-ot-eh'-o	Verb	5202	To drink water, be a drinker of water.
5130	udrwpikoV	Hudropikos	hoo-dro-pik-os'	Adjective	5203	Dropsical, suffering from dropsy.
5131	udwr	Hudor	hoo'-dore	Noun Neuter	5204	1. Water.\    A. Of water in rivers, in fountains, in pools.\    B. Of the water of the deluge.\    C. Of water in any of the earth's repositories.\    D. Of water as the primary element, out of and through which the world that was before the deluge, arose and was compacted.\    E. Of the waves of the sea.\    F. Fig. used of many peoples.
5132	uetoV	Huetos	hoo-et-os'	Noun Masculine	5205	Rain.
5133	uioqesia	Huiothesia	hwee-oth-es-ee'-ah	Noun Feminine	5206	1. Adoption, adoption as sons.\    A. That relationship which God was pleased to establish between himself and the Israelites in preference to all other nations.\    B. The nature and condition of the disciples in Jesus the Christ, who by receiving the Spirit of God into their souls become sons of God.\    C. The blessed state looked for in the future life after the visible return of Jesus the Christ from heaven.
5134	uioV	Huios	hwee-os'	Noun Masculine	5207	1. A son.\    A. Rarely used for the young of animals.\    B. Generally used of the offspring of men.\    C. In a restricted sense, the male offspring (one born by a father and of a mother).\    D. In a wider sense, a descendant, one of the posterity of any one,\        1. The children of Israel.\        2. Sons of Abraham.\    E. Used to describe one who depends on another or is his follower.\        1. A pupil.\2. Son of man; symbolically denotes the fifth kingdom in Daniel 7:13 and by this term its humanity is indicated in contrast with the barbarity and ferocity of the four preceding kingdoms (the Babylonian, the Median and the Persian, the Macedonian, and the Roman) typified by the four beasts.
5135	ulh	Hule	hoo-lay'	Noun Feminine	5208	1. A forest, a wood.\2. Felled wood, fuel.
5136	umaV	Humas	hoo-mas'		5209	You, You all.
5137	umeiV	Humeis	hoo-mice'		5210	You, You all.
5138	menaioV	Humenaios	hoo-men-ah'-yos	Noun Masculine	5211	Hymenaeus = "belonging to marriage".
5139	umeteroV	Humeteros	hoo-met'-er-os		5212	1. You, yours.\    A. To be possessed by you.\    B. To be allocated by you.\    C. Proceeding from you.
5140	umin	Humin	hoo-min'		5213	You, You all.
5141	umnew	Humneo	hoom-neh'-o	Verb	5214	1. To sing the praise of, sing hymns to.\2. To sing a hymn, to sing.\    A. Singing of paschal hymns these were Psalms 113 - 118 and 136, which the Jews called the "great Hallel".
5142	umnoV	Humnos	hoom'-nos	Noun Masculine	5215	1. A song in tithe praise of gods, heroes, conquerors.\2. A sacred song, hymn.
5143	umwn	Humon	hoo-mone'		5216	Of yours,Of you all.
5144	upagw	Hupago	hoop-ag'-o	Verb	5217	1. To lead under, bring under.\2. To withdraw one's self, to go away, depart.
5145	upakoh	Hupakoe	hoop-ak-o-ay'	Noun Feminine	5218	1. Obedience, compliance, submission.\2. Obedience rendered to anyone's counsels, an obedience shown in observing the requirements of Christianity.
5146	upakouw	Hupakouo	hoop-ak-oo'-o	Verb	5219	1. To listen, to harken.\    A. Of one who on the knock at the door comes to listen who it is, (the duty of a porter).\2. To harken to a command.\    A. To obey, be obedient to, submit to.
5147	upandroV	Hupandros	hoop'-an-dros	Adjective	5220	Under i.e. subject to a man: married.
5148	upantaw	Hupantao	hoop-an-tah'-o	Verb	5221	1. To go to meet, to meet.\2. In military reference.\    A. Of a hostile meeting.
5149	upanthsiV	Hupantesis	hoop-an'-tay-sis	Noun Feminine	5222	To go to meet.
5150	uparxiV	Huparxis	hoop'-arx-is	Noun Feminine	5223	Possessions, goods, wealth, property.
5151	uparconta	Huparchonta	hoop-ar'-khon-tah	Verb	5224	Possessions, goods, wealth, property.
5152	uparcw	Huparcho	hoop-ar'-kho	Verb	5225	1. To begin below, to make a beginning.\    A. To begin.\2. To come forth, hence to be there, be ready, be at hand.\3. To be.
5153	upeikw	Hupeiko	hoop-i'-ko	Verb	5226	1. To resist no longer, but to give way, yield (of combatants).\2. Metaph. to yield to authority and admonition, to submit.
5154	upenantioV	Hupenantios	hoop-en-an-tee'-os	Adjective	5227	1. Opposite to.\    A. Set over against: meeting one another.\2. Opposed to, contrary to, an adversary.
5155	uper	Huper	hoop-er'	Preposition	5228	1. In behalf of, for the sake of.\2. Over, beyond, more than.\3. More, beyond, over.
5156	uperairw	Huperairomai	hoop-er-ah'-ee-rom-ahee	Verb	5229	1. To lift or raise up over some thing.\2. To lift one's self up, be exalted, be haughty.\3. To carry one's self haughtily to, behave insolently towards one.
5157	uperakmoV	Huperakmos	hoop-er'-ak-mos	Adjective	5230	1. Beyond the bloom or prime of life.\2. Overripe, plump and ripe, (and so in a greater danger of defilement).\    A. Of a virgin.
5158	uperanw	Huperano	hoop-er-an'-o	Adverb	5231	1. Above.\    A. Above a thing.\    B. Of a place.\    C. Of rank or power.
5159	uperauxanw	Huperauxano	hoop-er-owx-an'-o	Verb	5232	1. To increase beyond measure.\2. To grow exceedingly.
5160	uperbainw	Huperbaino	hoop-er-bah'-ee-no	Verb	5233	1. To step over, beyond.\2. Metaph.\    A. To transgress.\    B. To overstep the proper limits.\    C. Trespass, do wrong, sin.\        1. Of one who defrauds another in business.\    D. Overreaches.
5161	uperballontwV	Huperballontos	hoop-er-bal-lon'-toce	Adverb	5234	Above measure.
5162	uperballw	Huperballo	hoop-er-bal'-lo	Verb	5235	1. To surpass in throwing, to throw over or beyond any thing.\2. To transcend, surpass, exceed, excel.\3. Excelling, exceeding.
5163	uperbolh	Huperbole	hoop-er-bol-ay'	Noun Feminine	5236	1. A throwing beyond.\2. Metaph.\    A. Superiority, excellence, pre-eminence.\    B. Beyond measure, exceedingly, preeminently.\    C. Beyond all measure.
5164	upereidon	Hupereido	hoop-er-i'-do	Verb	5237	To overlook, take no notice of, not attend to.
5165	uperekeina	Huperekeina	hoop-er-ek'-i-nah	Adverb	5238	Beyond: the regions lying beyond the country of one's residence.
5166	uperekperisswV	Huperekteino	hoop-er-ek-ti'-no	Verb	5239	To extend beyond the prescribed bounds, stretch out beyond measure, stretch out overmuch.
5167	uperekcunnw	Huperekchuno	hoop-er-ek-khoo'-no	Verb	5240	1. To pour out beyond measure.\2. To overflow, run over.
5168	uperentugcanw	Huperentugchano	hoop-er-en-toong-khan'-o	Verb	5241	To intercede for one.
5169	uperecw	Huperecho	hoop-er-ekh'-o	Verb	5242	1. To have or hold over one.\2. To stand out, rise above, overtop.\    A. To be above, be superior in rank, authority, power.\        1. The prominent men, rulers.\    B. To excel, to be superior, better than, to surpass.
5170	uperhfania	Huperephania	hoop-er-ay-fan-ee'-ah	Noun Feminine	5243	1. Pride, haughtiness, arrogance.\2. The character of one who, with a swollen estimate of his own powers or merits, looks down on others and even treats them with insolence and contempt.
5171	uperhfanoV	Huperephanos	hoop-er-ay'-fan-os	Adjective	5244	1. Showing one's self above others, overtopping, conspicuous above others, pre-eminent.\2. With an overweening estimate of one's means or merits, despising others or even treating them with contempt, haughty.
5172	upernikaw	Hupernikao	hoop-er-nik-ah'-o	Verb	5245	To be more than a conqueror, to gain a surpassing victory.
5173	uperogkoV	Huperogkos	hoop-er'-ong-kos	Adjective	5246	1. Overswollen.\2. Metaph. immoderate, extravagant.
5174	uperoch	Huperoche	hoop-er-okh-ay'	Noun Feminine	5247	1. Elevation, pre-eminence, superiority.\2. Metaph. excellence.
5175	uperperisseuw	Huperperisseuo	hoop-er-per-is-syoo'-o	Verb	5248	1. To abound beyond measure, abound exceedingly.\2. To overflow, to enjoy abundantly.
5176	uperperisswV	Huperperissos	hoop-er-per-is-soce'	Adverb	5249	Beyond measure, exceedingly.
5177	uperpleonazw	Huperpleonazo	hoop-er-pleh-on-ad'-zo	Verb	5250	1. To be exceedingly abundant.\2. To overflow.\3. To possess in excess.
