ID	word	Body
11	Above	(1: ano; Strong # 507)\denotes "above, in a higher place," Acts 2:19 (the opposite to {kato}, "below"). With the article it means "that which is above," Gal. 4:26; Phil. 3:14, "the high calling" (RV marg., "upward"); with the plural article, the things above," John 8:23, lit., "from the things above;" Col. 3:1,2. With {heoV}, "as far as," it is translated "up to the brim," in John 2:7. It has the meaning "upwards" in John 11:41 and Heb. 12:15 See BRIM, HIGH, UP. \\(2: anoteron; Strong # 511)\the comparative degree of No. 1, is the neuter of the adjective {anoteroV}. It is used \    (a) of motion to a higher place, "higher," Luke 14:10; \    (b) of location in a higher place, i.e., in the preceding part of a passage, "above" Heb. 10:8. See HIGHER.\\(3: epano; Strong # 1883)\{epi}, "over," {ano}, "above," is used frequently as a preposition with a noun; adverbially, of number, e.g., Mark 14:5, RV; 1 Cor. 15:6.\\Note: In Acts 4:22, AV, the adjective {pleion}, "more," is translated "above," the RV corrects to "more than (forty years)."\\(4: anothen; Strong # 509)\"from above," is used of place, \    (a) with the meaning "from the top," Matt. 27:51; Mark 15:38, of the temple veil; in John 19:23, of the garment of Christ, lit., "from the upper parts" (plural); \    (b) of things which come from heaven, or from God in Heaven, John 3:31; 19:11; Jas. 1:17; 3:15,17. It is also used in the sense of "again." See AGAIN.
12	Abroad	* For ABROAD, see the verbs with which it is used, DISPERSE, NOISE, SCATTER, SHED, SPREAD.
13	Absence, Absent	(A-1, Noun: apousia; Strong # 666)\lit., "a being away from," is used in Phil. 2:12, of the Apostle's absence from Philippi in contrast to his {parousia}, his presence with the saints there ({parousia} does not signify merely "a coming," it includes or suggests "the presence" which follows the arrival). \\(B-1, Verb: apeimi; Strong # 548)\"to be absent" ({apo}, "from," {eimi}, "to be"), is found in 1 Cor. 5:3; 2 Cor. 10:1,11; 13:2,10; Phil. 1:27; Col. 2:5. See GO.\\(B-2, Verb: ekdemeo; Strong # 1553)\lit., "to be away from people" ({ek}, "from," or "out of," {demoV}, "people"), came to mean either \    (a) "to go abroad, depart;" the Apostle Paul uses it to speak of departing from the body as the earthly abode of the spirit, 2 Cor. 5:8; or \    (b) "to be away;" in the same passage, of being here in the body and absent from the Lord (ver. 6), or being absent from the body and present with the Lord (ver. 8). Its other occurrence is in ver. 9.\\(C-1, Preposition: ater; Strong # 817)\means "without," Luke 22:35, "without purse;" in Luke 22:6, "in the absence (of the multitude)," marg., "without tumult." See WITHOUT.
14	Abstain, Abstinence	(1: apecho; Strong # 568)\"to hold oneself from" ({apo}, "from," {echomai}, the Middle Voice of {echo}, "to have," i.e., to keep oneself from), in the NT, invariably refers to evil practices, moral and ceremonial, Acts 15:20,29; 1 thess. 4:3; 5:22; 1 Tim. 4:3; 1 Pet. 2:11; so in the Sept. in Job 1:1; 2:3. See ENOUGH, RECEIVE. Note: The noun "abstinence" in Acts 27:21, AV, translates {asitia}, "without food," RV ({a}, negative, {sitoV}, "food"). Cp. {asitoV}, "fasting," Acts 27:33.
15	Abundance, Abundant, Abundantly, Abound	(A-1, Noun: hadroteV; Strong # 100)\which, in 2 Cor. 8:20, in reference to the gifts from the church at Corinth for poor saints in Judea, the RV renders "bounty" (AV, "abundance"), is derived from {hadroV}, "thick, fat, full-grown, rich" (in the Sept. it is used chiefly of rich and great men, e.g., Jer. 5:5). In regard, therefore, to the offering in 2 Cor. 8:20 the thought is that of bountiful giving, a fat offering, not mere "abundance". \\(A-2, Noun: perisseia; Strong # 4050)\"an exceeding measure, something above the ordinary," is used four times; Rom. 5:17, "of abundance of grace;" 2 Cor. 8:2, "of abundance of joy;" 2 Cor. 10:15, of the extension of the Apostle's sphere of service through the practical fellowship of the saints at Corinth; in Jas. 1:21 it is rendered, metaphorically, "overflowing," AV "superfluity," with reference to wickedness. Some would render it "residuum," or "what remains." See No. 3.\\(A-3, Noun: perisseuma; Strong # 4051)\denotes "abundance" in a slightly more concrete form, 2 Cor. 8:13,14, where it stands for the gifts in kind supplied by the saints. In Matt. 12:34; Luke 6:45 it is used of the abundance of the heart; in Mark 8:8, of the broken pieces left after feeding the multitude "that remained over" (AV "that was left"). See REMAIN. In the Sept., Eccl. 2:15.\\(A-4, Noun: huperbole; Strong # 5236)\lit., "a throwing beyond" ({huper}, "over," {ballo}, "to throw"), donotes "excellence, exceeding greatness," of the power of God in His servants, 2 Cor. 4:7; of the revelations given to Paul, 2 Cor. 12:7; with the preposition {kata}, the phrase signifies "exceeding," Rom. 7:13; "still more excellent," 1 Cor. 12:31; "exceedingly," 2 Cor. 1:8; "beyond measure," Gal. 1:13; and, in a more extended phrase, "more and more exceedingly," 2 Cor. 4:17. See EXCELLENCY, EXCELLENT, MEASURE.\\(B-1, Verb: perisseuo; Strong # 4052)\akin to A, Nos. 2 and 3, is used intransitively \    (a) "of exceeding a certain number, or measure, to be over, to remain," of the fragments after feeding the multitude (cp. {perisseuma}), Luke 9:17; John 6:12,13; "to exist in abundance;" as of wealth, Luke 12:15; 21:4; of food, Luke 15:17. In this sense it is used also of consolation, 2 Cor. 1:5; of the effect of a gift sent to meet the need of saints, 2 Cor. 9:12; of rejoicing, Phil. 1:26; of what comes or falls to the lot of a person in large measure, as of the grace of God and the gift by the grace of Christ, Rom. 5:15; of the sufferings of Christ, 2 Cor. 1:5. In Mark 12:44; Luke 21:4, the RV has "superfluity."\\\    (b) "to redound to, or to turn out abundantly for something," as of the liberal effects of poverty, 2 Cor. 8:2; in Rom. 3:7, argumentatively, of the effects of the truth of God, as to whether God's truthfulness becomes more conspicuous and His glory is increased through man's untruthfulness; of numerical increase, Acts 16:5.\\\    (c) "to be abundantly furnished, to abound in a thing," as of material benefits, Luke 12:15; Phil. 4:18 of spirtual gifts; 1 Cor. 14:12, or "to be pre-eminent, to excel, to be morally better off," as regards partaking of certain meats; 1 Cor. 8:8, "are we the better;" "to abound" in hope, Rom. 15:13; the work of the Lord, 1 Cor. 15:58; faith and grace, 2 Cor. 8:7; thanksgiving, Col. 2:7; walking so as to please God, Phil. 1:9; 1 Thess. 4:1,10; of righteousness, Matt. 5:20; of the Gospel, as the ministration of righteousness, 2 Cor. 3:9, "exceed."\\It is used transitively, in the sense of "to make to abound," e.g., to provide a person richly so that he has "abundance," as of spiritual truth, Matt. 13:12; the right use of what God has entrusted to us, 25:29; the power of God in conferring grace, 2 Cor. 9:8; Eph. 1:8; to "make abundant" or to cause to excel, as of the effect of grace in regard to thanksgiving, 2 Cor. 4:15; His power to make us "to abound" in love, 1 Thess. 3:12. See BETTER, ENOUGH, EXCEED, EXCEL, INCREASE, REDOUND, REMAIN.\\(B-2, Verb: huperperisseuo; Strong # 5248)\a strengthened form of No. 1, signifies "to abound exceedingly," Rom. 5:20, of the operation of grace; 2 Cor. 7:4, in the Middle Voice, of the Apostle's joy in the saints. See JOYFUL.\\(B-3, Verb: pleonazo; Strong # 4121)\from {pleion}, or {pleon}, "more" (greater in quantity), akin to {pleo}, "to fill," signifies, \    (a) intransitively, "to superabound," of a trespass or sin, Rom. 5:20; of grace, Rom. 6:1; 2 Cor. 4:15; of spiritual fruit, Phil. 4:17; of love, 2 Thess. 1:3; of various fruits, 2 Pet. 1:8; of the gathering of the manna, 2 Cor. 8:15, "had...over;" \    (b) transitively, "to make to increase," 1 Thess. 3:12. See INCREASE, OVER.\\(B-4, Verb: huperpleonazo; Strong # 5250)\a strengthened form of No. 3, signifying "to abound exceedingly," is used in 1 Tim. 1:14, of the grace of God.\\(B-5, Verb: plethuno; Strong # 4129)\a lengthened form of {pletho}, "to fill," akin to No. 3, and to {plethoV}, "a multitude," signifies "to increase, to multiply," and, in the Passive Voice, "to be multiplied," e.g., of iniquity, Matt. 24:12, RV. See MULTIPLY.\\Note: {Huperballo}, akin to A, No. 4, "to exceed, excel," is translated "passeth" in Eph. 3:19. See also 2 Cor. 3:10 (RV, "surpasseth;" AV, "excelleth"); 9:14, "exceeding;" Eph. 1:19; 2:7. See EXCEED, EXCEL.\\(C-1, Adjective: perissoV; Strong # 4053)\akin to B, No. 1, "abundant," is translated "advantage" in Rom. 3:1, "superfluous" in 2 Cor. 9:1. See ADVANTAGE, MORE, B, No. 2, SUPERFLUOUS.\\(C-2, Adjective: perissoteroV; Strong # 4055)\the comparative degree of No. 1, is translated as follows: in Matt. 11:9, and Luke 7:26, RV, "much more" (AV, "more"); in Mark 12:40, "greater;" in Luke 12:4,48, "more;" in 1 Cor. 12:23,24, "more abundant;" in 2 Cor. 2:7, "overmuch;" in 2 Cor. 10:8, RV, "abundantly;" AV, "more." See GREATER, MORE, OVERMUCH.\\(D-1, Adverb: perissoV; Strong # 4057)\corresponding to Adjective No. 1 above, is found in Matt. 27:23, RV, "exceedingly," AV, "the more;" Mark 10:26, RV, "exceedingly," AV, "out of measure;" Mark 15:14; Acts 26:11, "exceedingly." See EXCEEDINGLY, B, No. 4, MEASURE, B, No. 2, MORE.\\(D-2, Adverb: perissoteroV; Strong # 4056)\the adverbial form of No. 2, above, means "more abundantly;" in Heb. 2:1, lit., "we ought to give heed more abundantly." It is most frequent in 2 Cor. In 2 Cor. 11:23, see the RV. See EARNEST, EXCEEDINGLY, RATHER.\\(D-3, Adverb: huperperissoV; Strong # 5249)\a strengthened form of No. 1, signifies "exceeding abundantly," Mark 7:37.\\(D-4, Adverb: huperekperissou; Strong # 5228 1537)\a still further strengthened form, is translated "exceeding abundantly" in Eph. 3:20; "exceedingly" in 1 Thess. 3:10; 5:13. See EXCEEDINGLY.\\Note: {HuperballontoV}, akin to A, No. 4, denotes "above measure," 2 Cor. 11:23.\\(D-5, Adverb: plousioV; Strong # 4146)\connected with {ploutoV}, "riches," is rendered "abundantly," Titus 3:6; 2 Pet. 1:11; "richly," Col. 3:16; 1 Tim. 6:17. It is used of \    (a) the gift of the Holy Spirit; \    (b) entrance into the coming kingdom; \    (c) the indwelling of the Word of Christ; \    (d) material benefits. See RICHLY.\\Notes: (1) {DunamiV}, "power," is translated "abundance" in the AV of Rev. 18:3 (RV and AV marg., "power").\\(2) {PoluV}, "much, many," is rendered "abundant" in 1 Pet. 1:3, AV (marg., "much"), RV, "great."\\(3) For the verbs {plouteo} and {ploutizo}, see RICH and ENRICH.\\(4) For {ploutoV}, "wealth, riches," and {plousioV}, "rich," see RICH.
16	Abuse, Abusers	(A-1, Verb: katachraomai; Strong # 2710)\lit., "to use overmuch" ({kata}, "down," intensive, {chraomai}, "to use"), is found in 1 Cor. 7:31, with reference to the believer's use of the world (marg., "use to the full"), and 1 Cor. 9:18, AV, "abuse," RV, "use to the full." See USE. \\(B-1, Noun: arsenokoiteV; Strong # 733)\For the noun {arsenokoiteV}, see 1 Cor. 6:9, and 1 Tim. 1:10.
17	Abyss	* For ABYSS see BOTTOM
18	Accept, Accepted, Acceptable	(A-1, Verb: dechomai; Strong # 1209)\signifies "to accept," by a deliberate and ready reception of what is offered (cp. No. 4), e.g., 1 Thess. 2:13, RV, "accepted;" 2 Cor. 8:17; 11:4. See RECEIVE, TAKE. \\(A-2, Verb: apodechomai; Strong # 588)\consisting of {apo}, "from," intensive, and No. 1, expresses {dechomai} more strongly, signifying "to receive heartily, to welcome," Luke 8:40 (RV, "welcomed," AV, "gladly received"); Acts 2:41; 18:27; 24:3; 28:30. See RECEIVE, WELCOME.\\(A-3, Verb: prosdechomai; Strong # 4327)\{proV}, "to," and No. 1, "to accept favorably, or receive to oneself," is used of things future, in the sense of expecting; with the meaning of "accepting," it is used negatively in Heb. 11:35, "not accepting their deliverance;" of receiving, e.g., Luke 15:2; Rom. 16:2; Phil. 2:29. See ALLOW, LOOK (for), RECEIVE, TAKE, WAIT.\\(A-4, Verb: lambano; Strong # 2983)\almost synonymous with {dechomai}, is distinct from it, in that it sometimes means "to receive as merely a self-prompted action," without necessarily signifying a favorable reception, Gal. 2:6. See ATTAIN, CALL, CATCH, HAVE, HOLD, OBTAIN, RECEIVE, TAKE.\\Note: The verb {charitoo}, "to make acceptable," is translated "made accepted," in Eph. 1:6, AV; RV, "freely bestowed."\\*The following adjectives are translated "acceptable," or in some cases "accepted." The R.V. more frequently adopts the former rendering.\\(B-1, Adjective: dektoV; Strong # 1184)\akin to No. 1, denotes "a person or thing who has been regarded favorably," Luke 4:19,24; Acts 10:35; 2 Cor. 6:2 (in this verse No. 3 is used in the second place); Phil. 4:18.\\(B-2, Adjective: apodektoV; Strong # 587)\a strengthened form of No. 1 ({apo}, "from," used intensively), signifies "acceptable," in the sense of what is pleasing and welcome, 1 Tim. 2:3; 5:4.\\(B-3, Adjective: euprosdektoV; Strong # 2144)\a still stronger form of No. 1, signifies a "very favorable acceptance" ({eu}, "well," {proV}, "towards," No. 1), Rom. 15:16,31; 2 Cor. 6:2; 8:12; 1 Pet. 2:5.\\(B-4, Adjective: euarestoV; Strong # 2101)\{eu}, "well," {arestoV}, "pleasing," is rendered "acceptable," in the AV of Rom. 12:1,2; 14:18; in 2 Cor. 5:9, "accepted;" Eph. 5:10. The RV usually has "well-pleasing;" so AV and RV in Phil. 4:18; Col. 3:20; in Titus 2:9, "please well," AV; Heb. 13:21. See PLEASING.\\(C-1, Adverb: euarestoV; Strong # 2102)\corresponding to B, No. 4, is used in Heb. 12:28, "so as to please." See PLEASE.\\(D-1, Noun: apodoche; Strong # 594)\akin to B, No. 2, signifies "worthy to be received with approbation, acceptation," 1 Tim. 1:15; 4:9. The phrase in 1:15 is found in a writing in the 1st century expressing appreciation of a gift from a princess.\\(D-2, Noun: chariV; Strong # 5485)\"grace," indicating favor on the part of the giver, "thanks" on the part of the receiver, is rendered "acceptable" in 1 Pet. 2:19,20. See margin. See BENEFIT, FAVOR, GRACE, LIBERALITY, PLEASURE, THANK.
19	Access	(1: prosagoge; Strong # 4318)\lit., "a leading or bringing into the presence of" ({proV}, "to," {ago}, "to lead"), denotes "access," with which is associated the thought of freedom to enter through the assistance or favor of another. It is used three times, \    (a) Rom. 5:2, of the "access" which we have by faith, through our Lord Jesus Christ, into grace; \    (b) Eph. 2:18, of our "access" in one Spirit through Christ, unto the Father; \    (c) Eph. 3:12, of the same "access," there said to be "in Christ," and which we have "in confidence through our faith in Him." This "access" involves the acceptance which we have in Christ with God, and the privilege of His favor towards us. Some advocate the meaning "introduction."
20	Accompany	(1, Verb: sunepomai; Strong # 4902)\lit., "to follow with" ({sun}, "with," {hepomai}, "to follow"), hence came to mean simply "to accompany," Acts 20:4. \\(2, Verb: sunerchomai; Strong # 4905)\chiefly used of "assembling together," signifies "to accompany," in Luke 23:55; John 11:33; Acts 9:39; 10:45; 11:12; 15:38; 21:16. In Acts 1:21 it is said of men who had "companied with" the Apostles all the time the Lord Jesus was with them. See ASSEMBLE, COME, COMPANY, GO, RESORT.\\(3, Verb: echo; Strong # 2192)\"to have," is rendered "accompany," in Heb. 6:9, "things that accompany salvation." The margin gives perhaps the better sense, "things that are near to salvation."\\(4, Verb: propempo; Strong # 4311)\translated "accompanied," in Acts 20:38, AV, lit. means "to send forward;" hence, of assisting a person on a journey either \    (a) in the sense of fitting him out with the requisites for it, or \    (b) actually "accompanying" him for part of the way. The former seems to be indicated in Rom. 15:24; 1 Cor. 16:6, and 1 Cor.16:11, where the RV has "set him forward." So in 2 Cor. 1:16; and Titus 3:13, and of John's exhortation to Gaius concerning traveling evangelists, "whom thou wilt do well to set forward on their journey worthily of God," 3 John 1:6, RV. While personal "accompaniment" is not excluded, practical assistance seems to be generally in view, as indicated by Paul's word to Titus to set forward Zenas and Apollos on their journey and to see "that nothing be wanting unto them." In regard to the parting of Paul from the elders of Ephesus at Miletus, personal "accompaniment" is especially in view, perhaps not without the suggestion of assistance, Acts 20:38, RV "brought him on his way;" "accompaniment" is also indicated in Acts 21:5; "they all with wives and children brought us on our way, till we were out of the city." In Acts 15:3, both ideas perhaps are suggested. See BRING, CONDUCT.
21	Accomplish, Accomplishment	(A-1, Verb: exartizo; Strong # 1822)\"to fit out," (from {ek}, "out," and a verb derived from {artoV}, "a joint"), means "to furnish completely," 2 Tim. 3:17, or "to accomplish," Acts 21:5, there said of a number of days, as if to render the days complete by what was appointed for them. See FURNISH. In the Sept., Exod. 28:7. \\(A-2, Verb: pleroo; Strong # 4137)\"to fulfill, to complete, carry out to the full" (as well as to fill), is translated "perfect" in Rev. 3:2, AV; RV, "I have found no works of thine fulfilled before My God;" "accomplish" in Luke 9:31. See COMPLETE, END, EXPIRE, FILL, FULFILL, FULL, PREACH.\\Note: Its strengthened form, {ekpleroo}, "to fulfill," lit., "fill out," is used in Acts 13:33, of the fulfillment of a Divine promise of the resurrection of Christ.\\(A-3, Verb: teleo; Strong # 5055)\"to finish, to bring to an end" ({teloV}, "an end"), frequently signifies, not merely to terminate a thing, but to carry out a thing to the full. It is used especially in the Apocalypse, where it occurs eight times, and is rendered "finish" in Rev. 10:7; 11:7, and in the RV of Rev. 15:1, which rightly translates it "(in them) is finished (the wrath of God)." So in Rev 10:8; in Rev. 17:17, RV, "accomplish," and "finish" in Rev. 20:3,5,7; in Luke 2:39, RV, "accomplish," for AV, "performed." See END, EXPIRE, FILL, FINISH, FULFILL, GO, No. 5, PAY, PERFORM.\\(A-4, Verb: epiteleo; Strong # 2005)\{epi}, "up," intensive, and No. 3, is a strengthened form of that verb, in the sense of "accomplishing." The fuller meaning is "to accomplish perfectly;" in Rom. 15:28, RV, "accomplish;" "perfecting" in 2 Cor. 7:1; "complete" in 2 Cor. 8:6,11; "completion" in the latter part of this 11th verse, which is better than "performance;" "perfected" in Gal. 3:3; "perfect" in Phil. 1:6. In Heb. 8:5 the margin rightly has "complete" instead of "make," with regard to the tabernacle. In Heb. 9:6 it is translated "accomplish" and in 1 Pet. 5:9. See COMPLETE, DO, FINISH, MAKE, PERFECT, PERFORM.\\(A-5, Verb: teleioo; Strong # 5048)\though distinct grammatically from {teleo}, has much the same meaning. The main distinction is that {teleo} more frequently signifies "to fulfill," {teleioo}, more frequently, "to make perfect," one of the chief features of the Epistle to the Hebrews, where it occurs nine times. It is rendered "accomplish" in the RV of John 4:34; 5:36; 17:4; Acts 20:24. See CONSECRATE, FINISH, FULFILL, PERFECT.\\(A-6, Verb: pletho; Strong # 4130)\"to fulfill," is translated "accomplished" in the AV of Luke 1:23; 2:6,21,22 (RV, "fulfilled"). See FILL, No. 5, FURNISH, Note.\\(B-1, Noun: ekplerosiV; Strong # 1604)\see A, No. 2, Note, means "an entire fulfilment" ({ek}, "out," {plerosiV}, "a filling"), Acts 21:26, of the "fulfillment" of days of purification.
22	Accord	(A-1, Adverb: homothumadon; Strong # 3661)\"of one accord" (from {homoV}, "same," {thumoV}, "mind"), occurs eleven times, ten in the Acts, 1:14; 2:46; 4:24; 5:12; 7:57; 8:6; 12:20; 15:25; 18:12; 19:29, and the other in Rom. 15:6, where, for AV, with one mind," the RV has "with one accord," as throughout the Acts. See MIND. Note: In Acts 2:1, the adverb {homou}, "together," is so rendered in the RV, for AV, "of one accord."\\(B-1, Adjective: authairetoV; Strong # 830)\from {autoV}, "self," and {haireomai}, "to choose, self-chosen, voluntary, of one's own accord," occurs in 2 Cor. 8:3,17, of the churches of Macedonia as to their gifts for the poor saints in Judea, and of Titus in his willingness to go and exhort the church in Corinth concerning the matter. In 2 Cor. 8:3 the RV translates it "(gave) of their own accord," consistently with the rendering in 2 Cor. 8:17. See WILLING.\\(B-2, Adjective: automatoV; Strong # 844)\from {autoV}, "self," and a root {ma}--, signifying "desire," denotes of oneself, moved by one's own impulse. It occurs in Mark 4:28, of the power of the earth to produce plants and fruits of itself; Acts 12:10, of the door which opened of its own accord. See SELF. In the Sept., Lev. 25:5, "spontaneous produce;" Lev 25:11, "produce that comes of itself;" Josh. 6:5; 2 Kings 19:29, "(that which groweth) of itself;" Job 24:24, of an ear of corn "(falling off) of itself (from the stalk)."\\(B-3, Adjective: sumpsuchoV; Strong # 4861)\"lit., "fellow-souled or minded" ({sun}, "with," {psuche}, "the soul") occurs in Phil. 2:2, "of one accord."
23	According as	(1: kathoti; Strong # 2530)\from {kata}, "according to," and {hoti}, "that," lit., "because that," Luke 1:7; 19:9; Acts 2:24, is translated "according as" in Acts 2:45; RV (AV, "as"); Acts 4:35; "inasmuch as," Acts 17:31. \\(2: kathoV; Strong # 2531)\from {kata}, "according to," and {hoV}, "as," signifies "according as" or "even as," e.g., 1 Cor. 1:31; 2 Cor. 9:7.\\(3: hoV; Strong # 5613)\is sometimes rendered "according as," e.g., Rev. 22:12; in 2 Pet. 1:3, the RV has "seeing that," for the AV "according as."\\(4: katho; Strong # 2526)\See INASMUCH_AS.
24	According to	* For ACCORDING TO see ACCORDING_AS.
25	Account, Accounted	(A-1, Verb: dokeo; Strong # 1380)\primarily, "to be of opinion, think, suppose," also signifies "to seem, be accounted, reputed," translated "accounted" in Mark 10:42; Luke 22:24. It is not used ironically here, nor in Gal. 2:2,6,9, "those who were of repute." See REPUTE, SEEM, SUPPOSE, THINK. \\(A-2, Verb: ellogeo; Strong # 1677)\\(or-AO) "to put to a person's account," Philem. 1:18, is used of sin in Rom. 5:13, "reckon" (AV, "impute"). See IMPUTE, No. 2.\\(A-3, Verb: hegeomai; Strong # 2233)\primarily signifies "to lead;" then, "to consider;" it is translated "accounting" in Heb. 11:26, RV (AV, "esteeming"); 2 Pet. 3:15, "account." See CHIEF, COUNT, ESTEEM, GOVERNOR, JUDGE, RULE, SUPPOSE, THINK.\\(A-4, Verb: logizomai; Strong # 3049)\primarily signifies "to reckon," whether by calculation or imputation, e.g., Gal. 3:6 (RV, "reckoned"); then, to deliberate, and so to suppose, "account," Rom. 8:36; 14:14 (AV, "esteemeth"); John 11:50; 1 Cor. 4:1; Heb. 11:19; (AV, "consider"); Acts 19:27 ("made of no account;" AV, "despised"); 1 Pet. 5:12 (AV, "suppose"). It is used of love in 1 Cor. 13:5, as not taking "account" of evil, RV (AV, "thinketh"). In 2 Cor. 3:5 the Apostle uses it in repudiation of idea that he and fellow-servants of God are so self-sufficient as to "account anything" (RV) as from themselves (AV, "think"), i.e., as to attribute anything to themselves. Cp. 2 Cor. 12:6. In 2 Tim. 4:16 it is used of laying to a person's "account" (RV) as a charge against him (AV, "charge").\\Note: In Phil. 4:8 it signifies "to think upon a matter by way of taking account of its character" (RV marg.). See CONCLUDE, COUNT, CHARGE, ESTEEM, IMPUTE, NUMBER, REASON, RECKON, SUPPOSE, THINK.\\(A-5, Verb: kataxioo; Strong # 2661)\denotes "to account worthy" ({kata}, "intensive," {axioV}, "worthy"), "to judge worthy," Luke 20:35; some mss. have it in Luke 21:36 (so the AV); the most authentic mss. have the verb {katischuo}, "to prevail;" Acts 5:41, "were counted worthy;" so 2 Thess. 1:5.\\(A-6, Verb: exoutheneo; Strong # 1848)\"to make of no account," frequently signifies "to despise." In 1 Cor. 6:4, it is used, not in a contemptuous sense, but of gentile judges, before whom the saints are not to go to law with one another, such magistrates having no place, and therefore being "of no account" (RV), in the church. The Apostle is not speaking of any believers as "least esteemed" (AV). In 2 Cor. 10:10, for AV, "contemptible," the RV suitably has "of no account." See DESPISE.\\(B-1, Noun: logoV; Strong # 3056)\"a word or saying," also means "an account which one gives by word of mouth" (cp. No. 4), Matt. 12:36; Matt. 18:23, RV, "reckoning;" Matt. 16:2; Acts 19:40; 20:24 (AV, "count"); Rom. 14:12; Phil. 4:17; Heb. 13:17; 1 Pet. 4:5. See CAUSE, COMMUNICATION, DO, DOCTRINE, FAME, INTENT, MATTER, MOUTH, PREACHING, QUESTION, REASON, RECKONING, RUMOR, SAYING, SHEW, SPEECH, TALK, THINGS, TIDINGS, TREATISE, UTTERANCE, WORD, WORK.
26	Accurately	(1: akriboV; Strong # 199)\is correctly translated in the RV of Luke 1:3, "having traced the course of all things accurately" (AV, "having had perfect understanding"). It is used in Matt. 2:8, of Herod's command to the wise men as to searching for the young Child (RV, "carefully;" AV, "diligently"); in Acts 18:25, of Apollos' teaching of "the things concerning Jesus" (RV, "carefully;" AV, "diligently"); in Eph. 5:15, of the way in which believers are to walk (RV, "carefully;" AV, "circumspectly"); in 1 Thess. 5:2, of the knowledge gained by the saints through the Apostle's teaching concerning the Day of the Lord (RV and AV, "perfectly"). The word expresses that "accuracy" which is the outcome of carefulness. It is connected with {akroV}, "pointed." This word and its other grammatical forms, {akribeia}, {akribeV}, {akribesteron} and {akriboo}, are used especially by Luke, who employs them eight times out of the thirteen in the NT; Matthew uses them three times, Paul twice. See CAREFUL, DILIGENT, EXACTLY, PERFECT.
